"refseq_mrna","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001289005","ENSG00000130592",8.60102726607968,3.96749300543065,1.39329467307134,2.84756202841486,0.00440555078801969,0.0596799882418632
"NM_001289005","ENSG00000288199",8.60102726607968,3.96749300543065,1.39329467307134,2.84756202841486,0.00440555078801969,0.0596799882418632
"NM_001289023","ENSG00000274110",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289023","ENSG00000276163",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289023","ENSG00000278154",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289023","ENSG00000276053",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289023","ENSG00000167613",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289025","ENSG00000274110",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289025","ENSG00000276163",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289025","ENSG00000278154",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289025","ENSG00000276053",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289025","ENSG00000167613",8.33824180458236,1.73675897825794,0.877920432773489,1.97826467345251,0.0478988561556156,0.308355138725737
"NM_001289026","ENSG00000274110",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289026","ENSG00000276163",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289026","ENSG00000278154",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289026","ENSG00000276053",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289026","ENSG00000167613",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289027","ENSG00000274110",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289027","ENSG00000276163",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289027","ENSG00000278154",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289027","ENSG00000276053",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289027","ENSG00000167613",8.7985068451683,1.83688621905391,0.848729420649599,2.16427777141035,0.030443037652723,0.232118749199658
"NM_001289058","ENSG00000130413",13.9619116267578,1.70643048526735,0.726824651145381,2.34778840065239,0.0188852465432466,0.168644207148239
"NM_001289059","ENSG00000130413",13.4873051940607,1.73909553663743,0.723238747090695,2.40459397900503,0.0161904427142159,0.151606519232746
"NM_001289061","ENSG00000130413",17.1692236550066,1.58361719696787,0.682192265189218,2.32136492566157,0.0202671568542703,0.176794053886736
"NM_001289758","ENSG00000119917",15405.0839075895,-6.58635645161798,0.37829137796169,-17.410802453671,6.8319559632674e-68,4.3707760537077e-65
"NM_001289759","ENSG00000119917",15840.6629619966,-6.67977423190009,0.384384022299415,-17.3778665198964,1.21386045426866e-67,7.22076603910305e-65
"NM_001289939","ENSG00000079215",12.6321157595443,-2.64251456261263,0.821214595381304,-3.21781246640613,0.00129172243960592,0.0222439983543514
"NM_001289940","ENSG00000079215",12.5964339512852,-2.63804901118392,0.832761775054374,-3.16783153382812,0.00153580487764555,0.0255392525680861
"NM_001289984","ENSG00000043143",1467.73849057159,-1.8234426687627,0.242111122580384,-7.53142874779449,5.01880961421621e-14,4.39722939507052e-12
"NM_001289985","ENSG00000043143",1468.79398855194,-1.7946920359424,0.240633034661539,-7.45821137345798,8.77048919168593e-14,7.52863232968341e-12
"NM_001290043","ENSG00000228582",1381.86561768867,-2.28902960113461,0.293888868488702,-7.78875910784148,6.76704817616628e-15,6.39137332894903e-13
"NM_001290043","ENSG00000204267",1381.86561768867,-2.28902960113461,0.293888868488702,-7.78875910784148,6.76704817616628e-15,6.39137332894903e-13
"NM_001290043","ENSG00000237599",1381.86561768867,-2.28902960113461,0.293888868488702,-7.78875910784148,6.76704817616628e-15,6.39137332894903e-13
"NM_001290043","ENSG00000206235",1381.86561768867,-2.28902960113461,0.293888868488702,-7.78875910784148,6.76704817616628e-15,6.39137332894903e-13
"NM_001290043","ENSG00000206299",1381.86561768867,-2.28902960113461,0.293888868488702,-7.78875910784148,6.76704817616628e-15,6.39137332894903e-13
"NM_001291510","ENSG00000181381",1519.78473138492,-3.44357130426206,0.407653863169203,-8.44729221376901,2.9813683875024e-17,3.34732642102795e-15
"NM_001291807","ENSG00000078098",8.58241375511335,-1.58616006449972,1.06012689723948,-1.49619830289186,0.1346019866956,0.531325864696806
"NM_001292022","ENSG00000232367",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000227816",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000168394",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000224748",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000230705",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000224212",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000226173",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292022","ENSG00000206297",1338.85359236261,-3.47476926924269,0.20798743076822,-16.7066310517338,1.17276815017422e-62,6.02500752544808e-60
"NM_001292026","ENSG00000111907",8.12266121324201,2.29585851615605,1.191069441086,1.92756059131424,0.0539098046528248,0.331208798344016
"NM_001293225","ENSG00000144837",85.4578085096939,-3.81400587156617,0.511118488510565,-7.46207769294445,8.51686368917144e-14,7.34812460836479e-12
"NM_001293228","ENSG00000134323",42.7709163006937,1.71139460114668,0.446782072984416,3.83049075741759,0.000127887937312947,0.00312188357845219
"NM_001293231","ENSG00000134323",28.3176091574353,1.55209910057794,0.612487414332128,2.53409141846675,0.0112739315470209,0.120095883432246
"NM_001293233","ENSG00000134323",41.8113708220373,1.66862582883159,0.446155273398901,3.7400114451627,0.000184011876106423,0.00428228598705593
"NM_001293557","ENSG00000167207",13.0600255685752,-3.43878769841183,0.934353743270372,-3.68039163237638,0.000232876013060329,0.00522005206770339
